line_id,description,start_time,end_time,logs_count,duration_minutes
Other,Linie 12: Unregelmäßige Intervalle in beiden Richtungen. Grund: Schadhaftes Fahrzeug.,2026-03-22 13:15:10,2026-03-22 14:15:10,5,60.0
Other,Linie 12: Unregelmäßige Intervalle in beiden Richtungen. Grund: Verunreinigung.,2026-03-21 17:00:27,2026-03-21 19:30:16,11,149.81666666666666
Other,Linie 12A: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 16:30:18,2026-03-19 17:00:26,3,30.133333333333333
Other,Linie 13A: Unregelmäßige Intervalle in beiden Richtungen. Grund: Polizeieinsatz.,2026-03-20 23:30:16,2026-03-21 00:00:27,3,30.183333333333334
Other,Linie 14A: Unregelmäßige Intervalle in beiden Richtungen. Grund: Verkehrsüberlastung.,2026-03-19 16:45:10,2026-03-19 18:00:26,6,75.26666666666667
Other,Linie 16A: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-20 23:30:16,2026-03-21 20:15:09,7,1244.8833333333334
Other,Linie 16A: Unregelmäßige Intervalle in beiden Richtungen. Grund: Verkehrsüberlastung.,2026-03-20 13:15:16,2026-03-20 15:15:10,10,119.9
Other,Linie 17A: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-20 23:30:16,2026-03-21 20:15:09,7,1244.8833333333334
Other,"Linie 18: Betrieb nur zwischen Burggasse, Stadthalle U und St. Marx S. Weichen Sie ersatzweise auf die Linien 74A, U3 aus. Voraussichtliche Dauer: 17:15 Uhr. Grund: Schadhaftes Fahrzeug im Haltestellenbereich Schlachthausgasse U.",2026-03-19 16:00:28,2026-03-19 16:00:28,1,0.0
Other,Linie 18: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 16:15:10,2026-03-19 17:45:10,7,90.0
Other,Linie 19A: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-22 17:30:16,2026-03-22 17:39:14,2,8.966666666666667
Other,"Linie 1: Fahrtbehinderung in Richtung Stefan-Fadinger-Platz. Linie 62: Fahrtbehinderung in Richtung Lainz, Wolkersbergenstraße. Badner Bahn: Fahrtbehinderung in Richtung Baden, Josefsplatz. Voraussichtliche Dauer: 12:50 Uhr. Grund: Verkehrsunfall im Haltestellenbereich Resselgasse.",2026-03-21 11:45:09,2026-03-21 11:45:09,1,0.0
Other,"Linie 1: Fahrtbehinderung in Richtung Stefan-Fadinger-Platz. Voraussichtliche Dauer: 01:00 Uhr. Grund: Rettungseinsatz im Haltestellenbereich Oper, Karlsplatz U.",2026-03-21 23:45:09,2026-03-21 23:45:09,1,0.0
